CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
1.01,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.24,3.0,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,867.0,837.0,0.0,1.0,2.0,0.5,835.0,2.0,393.0,0.12,0.12,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,1.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,636.0,315.0,0.0,0.0,1.0,0.0,307.0,1.0,394.0,0.11,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.01,0.0,60.0,0.0,10.0,0.0,1.0,0.0,0.0,0.19,0.15,2.0,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,10.0,642.0,324.0,0.0,0.0,1.0,1.0,324.5,1.0,392.0,0.11,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.15,2.0,1.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,645.0,340.0,0.0,0.0,1.0,0.5,334.5,1.0,394.0,0.1,0.11,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.54,5.5,5.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,654.0,335.0,0.0,0.0,1.0,0.0,332.0,1.0,392.0,0.1,0.11,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.01,0.0,60.0,0.0,10.0,0.0,1.0,0.0,0.0,0.77,0.63,7.5,5.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,10.0,664.0,357.0,0.0,0.0,1.0,0.0,353.0,1.0,392.0,0.1,0.11,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,1.5,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,638.0,311.0,0.0,0.0,1.0,0.5,311.0,2.0,392.0,0.18,0.13,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.55,0.57,5.0,4.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2.0,645.0,355.0,0.0,1.0,1.0,6.0,348.5,1.0,392.0,0.18,0.13,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.03,0.0,84.62,0.0,26.0,0.0,4.0,0.4,0.0,0.61,0.7,6.0,4.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,26.0,650.0,327.0,0.0,1.0,1.0,1.0,324.5,1.0,392.0,0.16,0.13,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.75,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,1.98,0.0,7.14,0.0,78.15,0.0,4.42,1.4,0.06,1.0,1.03,8.5,9.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2032.0,678.0,372.0,0.0,1.0,0.0,1.5,376.5,1.0,389.0,0.16,0.13,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.31,0.21,3.0,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,642.0,324.0,0.0,0.0,2.0,0.0,322.5,2.0,391.0,0.15,0.12,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.75,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.76,0.64,7.5,5.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2.0,661.0,379.0,0.0,1.0,0.0,7.5,381.0,1.0,389.0,0.15,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.75,0.0,1.75,0.25,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.0,0.0,0.05,0.0,91.67,0.0,48.0,0.0,1.5,0.2,0.0,10.79,34.76,31.0,29.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,48.0,847.0,734.0,0.0,3.0,1.0,4.5,730.5,1.0,391.0,0.14,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.75,0.25,0.0,0.25,0.0,0.0,1.0,0.0,0.0,20.0,0.0,1.38,0.0,0.0,0.0,70.8,0.0,1.52,0.4,0.0,0.83,0.67,8.5,7.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,1416.0,896.0,823.0,0.0,0.0,2.0,0.0,823.5,1.0,391.0,0.14,0.12,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,1.0,0.0,0.02,0.0,80.0,0.0,20.0,0.0,1.0,0.0,0.0,1.56,28.21,13.0,14.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,20.0,888.0,885.0,0.0,2.0,0.0,4.0,891.5,3.0,390.0,0.14,0.12,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.75,0.0,0.5,0.0,0.0,0.0,1.75,0.0,0.0,10.0,0.0,0.05,0.0,28.57,0.0,5.6,0.0,1.05,0.0,0.0,0.19,0.18,2.0,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,56.0,692.0,418.0,0.0,1.0,1.0,0.0,431.5,1.0,389.0,0.12,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,4.0,2.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,640.0,304.0,0.0,0.0,2.0,0.0,305.0,2.0,391.0,0.12,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.51,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.51,0.0,1.5,1.0,0.3,0.01,0.0,66.67,205.33,12.0,13.33,1.0,2.2,0.02,2.21,1.68,12.5,12.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,12.0,671.0,363.0,0.0,1.0,2.0,0.5,362.0,1.0,392.0,0.11,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.38,5.0,3.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,645.0,335.0,0.0,1.0,1.0,0.5,325.5,2.0,391.0,0.11,0.12,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.75,0.0,1.25,0.0,0.0,0.25,0.0,0.0,2.25,0.0,0.5,1.5,0.0,0.01,0.0,0.0,4.0,4.0,1.0,0.67,0.2,0.0,2.65,26.89,16.5,15.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,6.0,686.0,428.0,0.0,2.0,1.0,12.0,425.5,1.0,391.0,0.11,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.2,0.0,0.27,0.18,2.5,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,642.0,336.0,0.0,1.0,1.0,0.0,330.5,1.0,391.0,0.11,0.12,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.07,0.5,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,635.0,324.0,0.0,1.0,1.0,0.0,313.5,1.0,391.0,0.11,0.12,5.2388648974499574e-14,default,code_service-code_app-code_scenario
1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,1.5,0.0,0.01,0.0,57.14,0.0,9.33,0.0,1.0,0.0,0.0,1.31,25.83,14.5,16.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,14.0,664.0,345.0,0.0,1.0,1.0,0.0,340.5,2.0,392.0,0.1,0.11,5.2735593669694936e-14,default,code_service-code_app-code_scenario
0.75,0.0,0.5,0.75,0.0,0.0,0.0,0.0,1.25,0.0,5.0,0.0,0.45,0.0,0.0,0.0,92.8,0.0,2.6,0.0,1.2,0.01,1.61,1.69,10.0,10.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,669.0,383.0,0.0,1.0,1.0,1.0,376.0,1.0,393.0,0.1,0.11,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.0,0.0,516.0,0.0,20.0,0.0,1.0,0.01,1.41,4.64,13.0,9.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,667.0,394.0,0.0,1.0,1.0,1.5,389.0,1.0,393.0,0.09,0.11,5.30825383648903e-14,default,code_service-code_app-code_scenario
1.26,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.76,0.0,1.5,1.5,0.01,0.02,0.0,75.0,4.0,16.0,0.33,1.0,0.2,0.0,0.82,19.18,9.5,14.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,24.0,685.0,434.0,0.0,2.0,1.0,9.5,429.0,1.0,389.0,0.09,0.11,5.30825383648903e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.75,0.0,0.25,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,6.5,11.5,9.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,724.0,500.0,0.0,2.0,0.0,2.5,507.5,1.0,387.0,0.08,0.11,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,1.25,0.0,0.0,3.0,0.0,0.04,0.0,72.73,0.0,14.67,0.0,0.83,0.0,0.0,0.08,0.29,1.0,1.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,44.0,857.0,843.0,0.0,0.0,0.0,1.0,848.5,1.0,387.0,0.08,0.11,5.2388648974499574e-14,default,code_service-code_app-code_scenario
1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42,25.97,14.5,16.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,888.0,893.0,0.0,2.0,0.0,4.5,893.0,0.0,386.0,0.08,0.11,5.204170427930421e-14,default,code_service-code_app-code_scenario
0.5,0.0,0.75,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,24.0,0.0,2.6,0.0,21.31,0.0,111.08,0.0,1.98,1.2,0.01,13.31,2.85,17.5,13.0,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,2666.0,800.0,617.0,0.0,1.0,1.0,0.0,619.5,2.0,387.0,0.07,0.11,5.2388648974499574e-14,default,code_service-code_app-code_scenario
0.25,0.0,0.75,0.0,0.0,0.25,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.5,0.5,0.0,0.0,0.0,0.0,1.0,100.0,1000.0,100.0,100.0,1.0,1.0,0.0,0.0,0.0,628.0,296.0,0.0,0.0,1.0,0.0,290.5,1.0,390.0,0.07,0.11,5.2735593669694936e-14,default,code_service-code_app-code_scenario
